cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
25547047,2020,374557,679758,53943,364178,119994,0,934321,0,669168,683216,770882,0,87666,0,94055,3
25553243,2020,0,24980,10800,4826,91111,0,-66131,0,10800,10800,9910,890,0,782,0,1
25562179,2020,757620,1010728,9330,632041,492404,0,1275944,0,2307500,2345610,2065410,280200,0,256744,0,17
25562527,2020,879899,4012747,1049882,2819986,12963291,219759,-8245176,0,18319594,102231933,84674426,17557507,0,17557507,0,65
25592846,2020,38157,3849906,6591,117064,224255,0,3602084,0,3704649,3704649,2901081,803568,0,776608,0,1
25608772,2020,0,205610,110753,51947,79481,0,126129,0,375464,393776,386579,7197,0,3533,0,1
25618202,2020,0,192475,0,2,58212,0,134263,0,0,0,0,0,0,0,0,0
25619666,2020,4167,123709,54227,19930,16859,0,111017,0,295958,350606,345108,5498,0,2713,0,5
25649993,2020,2465,138135,8089,16308,112633,0,27967,0,250555,250699,79308,171391,0,168921,0,1
25667655,2020,326474,820991,146895,670435,1445987,0,-298522,0,0,0,17104,0,17104,0,17104,0
25673746,2020,488865,390831,150863,227720,589388,0,290308,0,2112477,2142148,1547497,594651,0,573519,0,7
25716944,2020,7196582,5066093,227066,4148198,5295366,0,6743629,0,22778361,23567494,22388259,1179235,0,1111238,0,99
25741662,2020,1369515,4935244,167242,2003673,1355704,0,5103077,0,12221788,12307019,11994863,312156,0,244171,0,109
25747240,2020,201,41661,21403,1529,189532,0,-147670,0,75779,78037,42182,35855,0,35075,0,1
25778742,2020,296114,450761,69604,298014,235110,0,511765,0,705520,706326,599791,106535,0,99907,0,5
25787279,2020,30355,223720,148525,56844,222481,0,31833,0,35348,35348,50409,0,15061,0,15444,2
25794411,2020,174873,415020,0,152603,150700,0,439193,0,619572,634408,383508,250900,0,244696,0,3
25795239,2020,0,40934,3173,34503,91257,0,-50323,0,146612,149408,134532,14876,0,11908,0,0
25810177,2020,24885,362121,0,248126,140337,0,248113,0,871166,871221,616051,255170,0,246913,0,2
25824970,2020,21929,13013,22,2133,3089,0,32205,0,48301,57980,78225,0,20245,0,21693,0
25832264,2020,3036459,1354050,689875,625534,1959307,0,1087297,0,4030487,4163464,4142519,20945,0,20945,0,19
25841580,2020,11050,407424,58427,282733,13166,0,405308,0,109590,112465,65125,47340,0,46740,0,1
25845000,2020,37417,225436,0,73508,64166,0,196270,0,275139,349975,175688,174287,0,171741,0,2
25849967,2020,12451,99633,11215,5449,2744,0,109340,0,359325,359325,330238,29087,0,25606,0,1
25897476,2020,0,2958,445,0,72,0,2886,0,18895,18895,15682,3213,0,2646,0,0
25902556,2020,0,29468,0,21892,9711,0,19757,0,0,0,1300,0,1300,0,1300,0
25933625,2020,0,1296044,244205,1051080,1273158,0,22886,0,0,0,8568,0,8568,0,8568,0
25934779,2020,48452,2157150,105784,2050975,1977256,0,228346,0,414630,417182,470987,0,53805,0,57977,1
25944900,2020,22299,74377,0,4254,1485,0,95191,0,0,3,57,0,54,0,54,0
25950235,2020,8869,1020239,376335,548336,611565,0,417543,0,998638,972240,570639,401601,0,392940,0,6
25950367,2020,1122,602410,94128,200021,120881,0,482651,0,1566558,1568982,1686276,0,117294,0,117294,19
25970062,2020,4867,771759,47990,446800,332958,0,443732,0,310916,317259,215230,102029,0,94813,0,2
25970461,2020,0,652157,29016,215414,196040,0,456117,0,0,30,31696,0,31666,0,31666,0
26009771,2020,136797,1155307,27449,220570,476807,0,815297,0,1796072,1796341,1737704,58637,0,40562,0,6
26047678,2020,316424,1792890,53166,181658,640997,0,1475385,0,1859013,1874338,802009,1072329,0,1055021,0,4
